"suite","cohort","task","metric","selected_pairs","measured_pairs","shell_mean_ns","transparent_mean_ns","delta_ns","delta_ci95_low_ns","delta_ci95_high_ns","ratio","ratio_ci95_low","ratio_ci95_high"
"online","strict","argv_metacharacters","tool_call_ns",8,8,75268972.5,115096643.125,39827670.625,10108485.625,64918041,1.5291379608642857,1.1310674293892615,1.9364489724159892
"online","strict","cancel_ctrl_c","codex_total_ns",8,8,33206181959.125,33065334667.5,-140847291.625,-1667192400.125,1327186046.5,0.9957584014989024,0.953616340649955,1.0448756978211589
"online","strict","cancel_ctrl_c","startup_to_ready_ns",8,8,22401458.75,23361503.375,960044.625,841.375,1962299.25,1.0428563441208936,1.000037051059955,1.0905390070900391
"online","strict","cancel_ctrl_c","tool_call_ns",8,8,1262443162,1264104227.125,1661065.125,471918.75,2791099.375,1.0013157543840379,1.0003737242179387,1.0022109821483733
"online","strict","cancel_sigkill","codex_total_ns",8,8,29506620240.875,28320349788.875,-1186270452,-2487580359.25,283125936.25,0.9597964645792716,0.9170644899069412,1.0098170763529641
"online","strict","cancel_sigkill","startup_to_ready_ns",8,8,22484534.5,22959817.25,475282.75,-554419.25,1754285.875,1.02113820724196,0.9756361480410985,1.0792644457931586
"online","strict","cancel_sigkill","tool_call_ns",8,8,1791755670.875,1793938598,2182927.125,-6929028.5,10471284.875,1.001218317408162,0.9961396314579225,1.0058544413382933
"online","strict","cancel_sigterm","codex_total_ns",8,8,30395452965.875,43610212199.75,13214759233.875,-2777857356.625,43191447480.75,1.4347610561589992,0.9131302797807336,2.4884563116059475
"online","strict","cancel_sigterm","startup_to_ready_ns",8,8,23484891.5,23142155.125,-342736.375,-1652294,1102989,0.9854060907626505,0.931678337884549,1.0490041647957633
"online","strict","cancel_sigterm","tool_call_ns",8,8,1293350729.75,1292361675.5,-989054.25,-6230254.875,4632894.625,0.9992352776186308,0.9951919374506661,1.003592088317755
"online","strict","cwd_symlink","codex_total_ns",8,8,28583782660.875,30793539679,2209757018.125,-2291599705.375,8071388320,1.0773080681567622,0.9247919921496371,1.2973269961708527
"online","strict","cwd_symlink","startup_to_ready_ns",8,8,22254723.875,23089543.5,834819.625,-309565.625,1873617.5,1.0375120190072455,0.9866127240662217,1.0869531133655934
"online","strict","cwd_symlink","tool_call_ns",8,8,107633070.125,97036474.125,-10596596,-52029684.375,26430825.25,0.9015488828136778,0.6103222804062789,1.3118066240616288
"online","strict","descendant_cancel","codex_total_ns",8,8,29299225570.5,30752460432.375,1453234861.875,-720637932.25,3898620347.375,1.049599770423222,0.9758318895919257,1.134993565554295
"online","strict","descendant_cancel","startup_to_ready_ns",8,8,22258959.5,22717651.125,458691.625,-1490016.375,2156733.75,1.0206070560036735,0.934930686630979,1.0989743390158857
"online","strict","descendant_cancel","tool_call_ns",8,8,1163864383.25,1164301784.75,437401.5,-664595.25,1677009.5,1.0003758182708355,0.9994291621676165,1.0014411368078715
"online","strict","descendant_pipe_tail","codex_total_ns",8,8,28742932750.75,43557036914.375,14814104163.625,-482400286.375,43481588470.625,1.5153998825411596,0.9835497065826018,2.5591719432316875
"online","strict","descendant_pipe_tail","startup_to_ready_ns",8,8,22358774.375,23160710.25,801935.875,-446599.25,1820499.5,1.0358667188795763,0.9799397211241695,1.0819496728166864
"online","strict","descendant_pipe_tail","tool_call_ns",8,8,98467416.375,80617369.5,-17850046.875,-37848570.5,1910302.75,0.8187212833225919,0.680133511233901,1.023424301107253
"online","strict","environment_empty_unset","codex_total_ns",8,8,29912450675,29410716329.125,-501734345.875,-1435346216.75,417096478.625,0.9832265717267247,0.9533846047017144,1.0143427062216692
