pair_id,backend,task_id,observation,sample_phase,status,startup_ns,spawn_return_ns,fixture_ready_ns
"formal-full-native-noop-0124","shell","native-noop","full","formal","success","454683","22915822800662","22915823114987"
"formal-full-native-noop-0124","transparent","native-noop","full","formal","success","1027464","22915829199339","22915830109884"
"formal-full-native-noop-0125","shell","native-noop","full","formal","success","477699","22915844323307","22915844661944"
"formal-full-native-noop-0125","transparent","native-noop","full","formal","success","962547","22915836692575","22915837536150"
"formal-full-native-noop-0126","shell","native-noop","full","formal","success","461616","22915867388715","22915867719977"
"formal-full-native-noop-0126","transparent","native-noop","full","formal","success","1009543","22915874195817","22915875082631"
"formal-full-native-noop-0127","shell","native-noop","full","formal","success","402163","22915889130975","22915889350683"
"formal-full-native-noop-0127","transparent","native-noop","full","formal","success","1009428","22915881672085","22915882551144"
"formal-full-native-noop-0128","shell","native-noop","full","formal","success","469378","22915911136135","22915911439442"
"formal-full-native-noop-0128","transparent","native-noop","full","formal","success","982315","22915917996034","22915918855267"
"formal-full-native-noop-0129","shell","native-noop","full","formal","success","414619","22915932843389","22915933138150"
"formal-full-native-noop-0129","transparent","native-noop","full","formal","success","996260","22915925369965","22915926234581"
"formal-full-native-noop-0130","shell","native-noop","full","formal","success","433275","22915955191414","22915955499209"
"formal-full-native-noop-0130","transparent","native-noop","full","formal","success","1024956","22915962110152","22915962967639"
"formal-full-native-noop-0131","shell","native-noop","full","formal","success","396438","22915977134408","22915977333848"
"formal-full-native-noop-0131","transparent","native-noop","full","formal","success","965528","22915969557744","22915970396670"
"formal-full-native-noop-0132","shell","native-noop","full","formal","success","404040","22915998397779","22915998716905"
"formal-full-native-noop-0132","transparent","native-noop","full","formal","success","1049689","22916005229170","22916006132209"
"formal-full-native-noop-0133","shell","native-noop","full","formal","success","431714","22916020179210","22916020498228"
"formal-full-native-noop-0133","transparent","native-noop","full","formal","success","966904","22916012642794","22916013499089"
"formal-full-native-noop-0134","shell","native-noop","full","formal","success","414202","22916042547532","22916042843071"
"formal-full-native-noop-0134","transparent","native-noop","full","formal","success","969550","22916049292618","22916050158242"
"formal-full-native-noop-0135","shell","native-noop","full","formal","success","421355","22916063568549","22916063871238"
"formal-full-native-noop-0135","transparent","native-noop","full","formal","success","949994","22916056266213","22916057111633"
"formal-full-native-noop-0136","shell","native-noop","full","formal","success","451698","22916085954908","22916086281152"
"formal-full-native-noop-0136","transparent","native-noop","full","formal","success","970374","22916092640551","22916093491806"
